t iter diff m1 m2 c1x c1y c1z c2x c2y c2z vc1x vc1y vc1z vc2x vc2y vc2z v1x v1y v1z v2x v2y v2z 
0 1 0.8584482241820187 0.02972412109375 0.00152587890625 0.5 0.4833362743839836 0.01562901052361396 0.5 0.824609375 0.015546875 50 48.33362743839836 1.562901052361396 50 82.4609375 1.5546875 0 0 0 0 0 0 
0.01 2 0.7791348553520866 0.02972557162461731 0.001524428375382692 0.4999999188032294 0.483355055882499 0.01562884729130857 0.5000015832953906 0.8245678751081508 0.01554997979229425 -8.11967705849348e-06 0.001878149851541888 -1.632323053911422e-05 0.0001583295390572559 -0.004149989184920599 0.0003104792294253075 0.0005527185813225016 -0.0001893147020287112 -0.0004123159456077638 0.0001548866002343836 0.001076201876515926 -0.0009068863453325838 
0.02 3 0.3710733966634358 0.02972557162461731 0.001524428375382693 0.4999997723623923 0.4833543213064998 0.01562890977117528 0.500004438816619 0.8245821989634571 0.01554876146693178 -1.464408370677184e-05 -7.345759991950196e-05 6.247986670745997e-06 0.0002855521228473101 0.001432385530630853 -0.0001218325362472086 0.001177436089990633 -7.496057705289603e-05 -0.0003415533373461393 0.0003466184353962739 0.001382372049256513 -0.001585572562780194 
0.03 4 0.1530471299698342 0.02972557162461732 0.001524428375382693 0.499999589379448 0.4833533021925264 0.01562890941037029 0.5000080068902061 0.824602071163356 0.01554876850244416 -1.829829443522613e-05 -0.0001019113973377284 -3.608049900516441e-08 0.0003568073587034704 0.001987219989896261 7.035512379280351e-07 0.001790312344491679 -0.000194941538351461 -0.0002714148358468845 0.0005569113616972172 0.001960804414859888 -0.001995049250798502 
0.04 5 0.1284436747026626 0.02972557162461731 0.001524428375382693 0.4999993812518908 0.4833523927472696 0.01562894522684014 0.5000120652708522 0.8246198048795239 0.01554807009964808 -2.081275572440866e-05 -9.094452568247924e-05 3.581646984551767e-06 0.0004058380646099202 0.001773371616786701 -6.984027960833111e-05 0.002404942393992588 -0.000130222542171631 -0.0002347560521825138 0.0007720012948037898 0.002016596493136234 -0.002188987343453898 
0.05 6 0.09086044838856522 0.02972557162461731 0.001524428375382692 0.499999159976606 0.4833513865579834 0.01562894212060838 0.5000163800254326 0.8246394250546466 0.01554813066957436 -2.212752847619015e-05 -0.0001006189286223425 -3.106231750982236e-07 0.0004314754580403424 0.00196201751226921 6.056992628636348e-06 0.00301835965413167 -0.0001636228495098676 -0.0002165106392058557 0.0009950246882318254 0.00224673656597826 -0.002278419188787126 
0.06 7 0.05355776100340852 0.02972557162461731 0.001524428375382693 0.4999989264492383 0.4833503273324009 0.01562892342791813 0.5000209336893595 0.8246600794103619 0.01554849516744917 -2.33527367721198e-05 -0.0001059225582522583 -1.86926902498441e-06 0.0004553663926931684 0.002065435571529939 3.644978748100491e-05 0.003633813121192037 -0.0001522878632036749 -0.0002067446755490686 0.001222228261313253 0.002346295296951423 -0.002319830838316032 
0.07000000000000001 8 0.0276807512543316 0.02972557162461731 0.001524428375382693 0.4999986892263293 0.4833491435255868 0.01562889183273697 0.5000255594144459 0.8246831630362017 0.01554911125728041 -2.372229089830924e-05 -0.0001183806814075705 -3.159518116233051e-06 0.0004625725086415677 0.002308362583980372 6.16089831234623e-05 0.004249342520225354 -0.0001596210554476755 -0.000200615868617372 0.001454055718613711 0.002456617729294809 -0.002340552485163757 
0.08 9 0.02532947252994817 0.02972557162461731 0.001524428375382691 0.4999984498155626 0.4833478994712174 0.01562885371259514 0.5000302278016268 0.8247074214584791 0.0155498545804989 -2.39410766711412e-05 -0.000124405436940922 -3.812014183132706e-06 0.0004668387180828404 0.002425842227737895 7.433232184946015e-05 0.004862131775850392 -0.000160624217097533 -0.0001961168707201953 0.001689050116667453 0.002524296130951413 -0.002351821795773573 
0.09 10 0.02489851490021303 0.02972557162461731 0.001524428375382691 0.4999982053388146 0.4833466205262782 0.01562881022970052 0.5000349949728508 0.8247323602289781 0.01555070247464696 -2.444767479570231e-05 -0.0001278944939175908 -4.348289462524635e-06 0.0004767171223996058 0.002493877049902782 8.478941480524749e-05 0.005473510889114378 -0.0001562990554322022 -0.0001924750345671558 0.001927250152151051 0.002567041804195984 -0.002358375866034624 
