t,r
2,0.032557
2.1,0.035458
2.2,0.038014
2.3,0.040482
2.4,0.043095
2.5,0.046168
2.6,0.049782
2.7,0.052952
2.8,0.055295
2.9,0.057446
3,0.060014
3.1,0.063486
3.2,0.068051
3.3,0.071959
3.4,0.075212
3.5,0.078474
3.6,0.081879
3.7,0.085225
3.8,0.087816
3.9,0.089834
4,0.091568
4.1,0.093108
4.2,0.094531
4.3,0.096044
4.4,0.098083
4.5,0.101498
4.6,0.104691
4.7,0.106929
4.8,0.109049
4.9,0.111464
5,0.113733
5.1,0.115483
5.2,0.116895
5.3,0.11815
5.4,0.119332
5.5,0.120492
5.6,0.121653
5.7,0.122825
5.8,0.12402
5.9,0.125259
6,0.126576
6.1,0.128019
6.2,0.129654
6.3,0.131471
6.4,0.133359
6.5,0.135165
6.6,0.136813
6.7,0.138297
6.8,0.139639
6.9,0.140925
7,0.142244
7.1,0.143679
7.2,0.145265
7.3,0.146865
7.4,0.148311
7.5,0.149482
7.6,0.150412
7.7,0.151215
7.8,0.151978
7.9,0.152775
8,0.153648
8.1,0.154607
8.2,0.155668
8.3,0.15687
8.4,0.158282
8.5,0.159931
8.6,0.161746
8.7,0.163595
8.8,0.165413
8.9,0.167146
9,0.168765
9.1,0.17034
9.2,0.171958
9.3,0.17363
9.4,0.17522
9.5,0.176613
9.6,0.17773
9.7,0.178616
9.8,0.1794
9.9,0.180194
10,0.181102
10.1,0.182166
10.2,0.183335
10.3,0.184548
10.4,0.185734
10.5,0.186846
10.6,0.187944
10.7,0.189139
10.8,0.190586
10.9,0.192342
11,0.194266
11.1,0.196154
11.2,0.197794
11.3,0.199072
11.4,0.199998
11.5,0.200641
11.6,0.201119
11.7,0.201515
11.8,0.201883
11.9,0.202268
12,0.202713
12.1,0.203252
12.2,0.203906
12.3,0.204702
12.4,0.205694
12.5,0.206975
12.6,0.208642
12.7,0.210714
12.8,0.213031
12.9,0.215338
13,0.217435
13.1,0.219234
13.2,0.220763
13.3,0.222069
13.4,0.223206
13.5,0.224224
13.6,0.225154
13.7,0.226015
13.8,0.226823
13.9,0.22759
14,0.228328
14.1,0.229047
14.2,0.229756
14.3,0.230474
14.4,0.231244
14.5,0.23213
14.6,0.233226
14.7,0.234612
14.8,0.236103
14.9,0.237411
15,0.238383
15.1,0.239087
15.2,0.239663
15.3,0.240202
15.4,0.240777
15.5,0.241469
15.6,0.24232
15.7,0.24333
15.8,0.244484
15.9,0.245755
16,0.247102
16.1,0.248469
16.2,0.249794
16.3,0.251022
16.4,0.252177
16.5,0.253318
16.6,0.254499
16.7,0.255761
16.8,0.257097
16.9,0.258492
17,0.259923
17.1,0.261298
17.2,0.262498
17.3,0.263455
17.4,0.264143
17.5,0.264607
17.6,0.264936
17.7,0.265195
17.8,0.265436
17.9,0.26571
18,0.266068
18.1,0.266537
18.2,0.267141
18.3,0.267908
18.4,0.268878
18.5,0.270083
18.6,0.271533
18.7,0.273247
18.8,0.275255
18.9,0.27719
19,0.278527
19.1,0.27938
19.2,0.279997
19.3,0.280515
19.4,0.280998
19.5,0.281492
19.6,0.282052
19.7,0.282749
19.8,0.283597
19.9,0.284548
20,0.285506
20.1,0.286392
20.2,0.287207
20.3,0.287958
20.4,0.288645
20.5,0.28926
20.6,0.289809
20.7,0.290368
20.8,0.291059
20.9,0.292064
21,0.29359
21.1,0.295369
21.2,0.296883
21.3,0.297845
21.4,0.298342
21.5,0.298623
21.6,0.298852
21.7,0.29917
21.8,0.299766
21.9,0.300803
22,0.302271
22.1,0.304008
22.2,0.30571
22.3,0.307179
22.4,0.308363
22.5,0.30929
22.6,0.310026
22.7,0.310637
22.8,0.31116
22.9,0.311617
23,0.312023
23.1,0.31239
23.2,0.312744
23.3,0.313117
23.4,0.313549
23.5,0.314093
23.6,0.314834
23.7,0.315859
23.8,0.317217
23.9,0.318952
24,0.32101
24.1,0.3228
24.2,0.323969
24.3,0.324684
24.4,0.325182
24.5,0.32558
24.6,0.325937
24.7,0.326297
24.8,0.326703
24.9,0.32719
25,0.327768
25.1,0.328439
25.2,0.329202
25.3,0.330046
25.4,0.330965
25.5,0.331962
25.6,0.333041
25.7,0.33421
25.8,0.335414
25.9,0.336511
26,0.337405
26.1,0.338068
26.2,0.338545
26.3,0.33893
26.4,0.339292
26.5,0.339691
26.6,0.340213
26.7,0.341019
26.8,0.342207
26.9,0.343577
27,0.344745
27.1,0.345621
27.2,0.346354
27.3,0.347035
27.4,0.34772
27.5,0.348464
27.6,0.349285
27.7,0.350122
27.8,0.350903
27.9,0.35156
28,0.35205
28.1,0.352404
28.2,0.352689
28.3,0.352959
28.4,0.353266
28.5,0.353666
28.6,0.354208
28.7,0.354887
28.8,0.355684
28.9,0.356572
29,0.357513
29.1,0.35848
29.2,0.359473
29.3,0.360493
29.4,0.36154
29.5,0.362604
29.6,0.363652
29.7,0.36465
29.8,0.365559
29.9,0.366347
30,0.367048
30.1,0.367721
30.2,0.368423
30.3,0.369193
30.4,0.370005
30.5,0.370807
30.6,0.371552
30.7,0.372198
30.8,0.372715
30.9,0.373149
31,0.37357
31.1,0.374061
31.2,0.374721
31.3,0.375637
31.4,0.376724
31.5,0.377824
31.6,0.37877
31.7,0.379463
31.8,0.379972
31.9,0.3804
32,0.380825
32.1,0.381318
32.2,0.381927
32.3,0.382636
32.4,0.383419
32.5,0.38425
32.6,0.385098
32.7,0.385939
32.8,0.386783
32.9,0.387645
33,0.388534
33.1,0.389437
33.2,0.390298
33.3,0.391064
33.4,0.391681
33.5,0.392069
33.6,0.39211
33.7,0.391781
33.8,0.391264
33.9,0.39089
34,0.391099
34.1,0.392057
34.2,0.393549
34.3,0.395332
34.4,0.397096
34.5,0.398501
34.6,0.399445
34.7,0.40004
34.8,0.400427
34.9,0.400716
35,0.400963
35.1,0.401206
35.2,0.401477
35.3,0.401817
35.4,0.402275
35.5,0.402882
35.6,0.403661
35.7,0.404629
35.8,0.405781
35.9,0.407035
36,0.408214
36.1,0.409134
36.2,0.409619
36.3,0.409611
36.4,0.409328
36.5,0.40902
36.6,0.408961
36.7,0.409426
36.8,0.410444
36.9,0.411939
37,0.4138
37.1,0.415691
37.2,0.417091
37.3,0.417879
37.4,0.418191
37.5,0.418241
37.6,0.418172
37.7,0.418063
37.8,0.417975
37.9,0.417974
38,0.418143
38.1,0.418532
38.2,0.419143
38.3,0.41995
38.4,0.420888
38.5,0.421868
38.6,0.42286
38.7,0.423866
38.8,0.424883
