cl,vf,r,x,y,z,vx,vy,vz,p,xx,xy,xz,yy,yz,zz
0,0.7293532438012001462,0.55840560624582680216,1.0916551358094548352,0.7662038419623325991,0.49913581900262921076,0.0075398674881077482404,0.016534952044384983866,-0.0038238216503379924768,-0.045478201466512706286,1.42150668067093644,0.82540520836435238294,0.54516916218329725119,0.62377836033641087532,0.38249788912748283742,0.33220955171077831691
2,0.18278757830116287852,0.35206216601123691001,0.46892924884715975198,0.5479250783152026516,0.49558864824045750774,0.061600677467221483241,-0.077385144850749057466,0.0084299690945186436103,-0.057329689411248822839,0.33813751351107929066,0.20175214008875999583,0.22699863989880897375,0.33164969216333245461,0.27467932178881993011,0.32703585392313300195
3,9.4318582794597656538e-05,0.028238148584347609604,1.4969848097943676546,0.67218404154134148154,0.075588214246747803537,-0.10805600503552049985,-0.11642648355882763422,0.023088867954733055532,-0.024134790403482698357,2.2411265434232703342,1.0062815609222821589,0.11314305825611685463,0.45199699214032657002,0.050790803175929676028,0.0059012602787097872062
4,0.00019489738355878667513,0.035967131260509523083,1.9733100108360286384,0.67354626351766888614,0.016837553750019704224,0.0053044903193281839338,-0.21570327933408736665,-0.06090386124437187354,-0.032378218679747959585,3.8942276009361833644,1.3291605036749969404,0.033160932478998317308,0.45385278399039952202,0.011299968962823607813,0.00074621424186079520716
5,0.00050598816938912931796,0.049433032245932068127,1.7167254967995895232,0.65747541846624202311,0.075351297767417807494,-0.2432965250586726913,0.028134683438194269672,-0.12937212670491529676,-0.02972310469525918028,2.947835095206354783,1.1286560606231783588,0.12934241822113790032,0.43267112622710030001,0.049430371240106726893,0.0062008633947105281856
6,1.131851380864369701e-05,0.013928369043266771582,1.0453019517166890484,0.23538286595193583239,0.93665793611723391354,0.27794611443407352125,-0.074402450866692698694,0.18743467326699667086,0.059797623889691120525,1.0927036720897818078,0.24605158427475726235,0.97908953942284915328,0.055459616114771237427,0.22047126787959445138,0.8773730919374785886
7,0.00041398843274165030145,0.04623453908233938342,1.9450914973946886732,0.64034379415436670779,0.81534373243509872253,0.026206695403694874741,-0.17331531699299065896,-0.059700793398394944034,-0.02630804527484222749,3.7845225171243304096,1.245503915739804679,1.5855700706312196857,0.41044056216340951693,0.52197895846185804469,0.6651522730959456009
8,2.1708049396086972045e-05,0.017305230856562461156,1.7648020856930795031,0.62282325178621533723,0.88645301514050123259,-0.07736009757680727128,-0.041179325086910099907,0.02702935634253903624,-0.0016717936407110466947,3.1145958556495330072,1.0991557057488163807,1.5644123716545752512,0.38797618157114860393,0.55210193690464115512,0.78587163746300570111
9,0.00011581352406314461621,0.030238266422513804949,1.9283909246141097693,0.66069465111477065911,0.52082431743718260453,-0.09177906405573159343,-0.057683386219126935035,0.012464163718406912409,-0.022736862676073613804,3.7189435630582008407,1.2740742956429369492,1.0043612223255096172,0.43667648425488414521,0.34411593209155383333,0.27143829615798686916
10,0.00027243980380363397569,0.040215547274115574783,1.7435066487311441374,0.62880615836818309905,0.20959601736647295867,-0.29518677598534304174,0.044889233639641194784,-0.09524121284520307984,-0.019949088812907796869,3.0403686769641069532,1.0960270047937712423,0.3655631171045426453,0.39580993974241002187,0.13176583707024655534,0.044303237762784317133
11,0.00012347969867345626291,0.030891261977359505547,1.0312315315557643025,0.2366109626312932479,0.92439442066343580073,0.34093931523184817234,-0.15700379582414883406,0.11019374396807841976,0.014145599542507944837,1.0638079881734054943,0.24394142184819031516,0.95329705085650995322,0.05612548478769609217,0.21874624641335860264,0.8547000945889998702
